"study","OR","OR.lb","OR.ub"
"Bullen",1.26,0.68,2.34
"Vickerman",0.5,0.4,0.63
"Borderud",0.5,0.3,0.8
"Brown",1.61,1.19,2.18
"Hajek",1.44,0.94,2.21
"Pavlov",0.68,0.54,0.87
"Pearson",0.77,0.59,1
